Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Total,0,1,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000267,,,,0000267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,11,"1,163",,Polling,0,0.00%,0,0.00%,2,18.18%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,8,72.73%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,9.09%,0,0.00%,0,0.00%,0,0.00%,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,143,"1,163",,Vote by Mail,0,0.00%,0,0.00%,15,10.64%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,7.80%,38,26.95%,0,0.00%,1,0.71%,0,0.00%,0,0.00%,19,13.48%,0,0.00%,0,0.00%,12,8.51%,44,31.21%,1,0.71%,0,0.00%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,154,"1,163",,Total,0,0.00%,0,0.00%,17,11.18%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,7.24%,46,30.26%,0,0.00%,1,0.66%,0,0.00%,0,0.00%,19,12.50%,0,0.00%,0,0.00%,12,7.89%,45,29.61%,1,0.66%,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000268,,,,0000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,19,"1,512",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,9,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,27.78%,0,0.00%,0,0.00%,0,0.00%,4,22.22%,0,0.00%,0,0.00%,0,0.00%,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,155,"1,512",,Vote by Mail,0,0.00%,1,0.68%,25,16.89%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,13,8.78%,39,26.35%,0,0.00%,8,5.41%,0,0.00%,0,0.00%,15,10.14%,0,0.00%,0,0.00%,10,6.76%,35,23.65%,2,1.35%,0,0.00%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,174,"1,512",,Total,0,0.00%,1,0.60%,25,15.06%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,13,7.83%,48,28.92%,0,0.00%,8,4.82%,0,0.00%,0,0.00%,20,12.05%,0,0.00%,0,0.00%,10,6.02%,39,23.49%,2,1.20%,0,0.00%,0,0.00%,166,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000269,,,,0000269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,44,"2,471",,Polling,0,0.00%,0,0.00%,8,18.18%,,0,0.00%,1,2.27%,,0,0.00%,0,0.00%,0,0.00%,16,36.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.82%,0,0.00%,0,0.00%,0,0.00%,16,36.36%,0,0.00%,0,0.00%,0,0.00%,44,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,300,"2,471",,Vote by Mail,0,0.00%,0,0.00%,41,14.70%,,0,0.00%,0,0.00%,,0,0.00%,1,0.36%,14,5.02%,77,27.60%,0,0.00%,18,6.45%,1,0.36%,0,0.00%,52,18.64%,0,0.00%,0,0.00%,19,6.81%,50,17.92%,6,2.15%,0,0.00%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,344,"2,471",,Total,0,0.00%,0,0.00%,49,15.17%,,0,0.00%,1,0.31%,,0,0.00%,1,0.31%,14,4.33%,93,28.79%,0,0.00%,18,5.57%,1,0.31%,0,0.00%,55,17.03%,0,0.00%,0,0.00%,19,5.88%,66,20.43%,6,1.86%,0,0.00%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000270,,,,0000270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,33,"2,430",,Polling,0,0.00%,0,0.00%,2,6.25%,,0,0.00%,0,0.00%,,1,3.13%,1,3.13%,0,0.00%,19,59.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,18.75%,0,0.00%,0,0.00%,0,0.00%,3,9.38%,0,0.00%,0,0.00%,0,0.00%,32,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,332,"2,430",,Vote by Mail,0,0.00%,0,0.00%,35,11.15%,,0,0.00%,1,0.32%,,1,0.32%,1,0.32%,19,6.05%,81,25.80%,0,0.00%,15,4.78%,0,0.00%,0,0.00%,39,12.42%,0,0.00%,0,0.00%,23,7.32%,94,29.94%,5,1.59%,0,0.00%,0,0.00%,314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,365,"2,430",,Total,0,0.00%,0,0.00%,37,10.69%,,0,0.00%,1,0.29%,,2,0.58%,2,0.58%,19,5.49%,100,28.90%,0,0.00%,15,4.34%,0,0.00%,0,0.00%,45,13.01%,0,0.00%,0,0.00%,23,6.65%,97,28.03%,5,1.45%,0,0.00%,0,0.00%,346,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000271,,,,0000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,29,"2,186",,Polling,0,0.00%,0,0.00%,4,13.79%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,65.52%,0,0.00%,1,3.45%,0,0.00%,0,0.00%,1,3.45%,0,0.00%,0,0.00%,0,0.00%,4,13.79%,0,0.00%,0,0.00%,0,0.00%,29,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,282,"2,186",,Vote by Mail,0,0.00%,1,0.38%,31,11.65%,,0,0.00%,3,1.13%,,2,0.75%,0,0.00%,13,4.89%,62,23.31%,0,0.00%,13,4.89%,0,0.00%,0,0.00%,31,11.65%,0,0.00%,1,0.38%,26,9.77%,78,29.32%,5,1.88%,0,0.00%,0,0.00%,266,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,311,"2,186",,Total,0,0.00%,1,0.34%,35,11.86%,,0,0.00%,3,1.02%,,2,0.68%,0,0.00%,13,4.41%,81,27.46%,0,0.00%,14,4.75%,0,0.00%,0,0.00%,32,10.85%,0,0.00%,1,0.34%,26,8.81%,82,27.80%,5,1.69%,0,0.00%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000272,,,,0000272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,53,"2,196",,Polling,0,0.00%,0,0.00%,4,7.69%,,0,0.00%,1,1.92%,,0,0.00%,0,0.00%,0,0.00%,19,36.54%,0,0.00%,1,1.92%,0,0.00%,0,0.00%,6,11.54%,0,0.00%,0,0.00%,0,0.00%,21,40.38%,0,0.00%,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,312,"2,196",,Vote by Mail,0,0.00%,0,0.00%,25,8.56%,,0,0.00%,4,1.37%,,2,0.68%,0,0.00%,7,2.40%,80,27.40%,0,0.00%,23,7.88%,0,0.00%,0,0.00%,38,13.01%,0,0.00%,1,0.34%,19,6.51%,91,31.16%,2,0.68%,0,0.00%,0,0.00%,292,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,365,"2,196",,Total,0,0.00%,0,0.00%,29,8.43%,,0,0.00%,5,1.45%,,2,0.58%,0,0.00%,7,2.03%,99,28.78%,0,0.00%,24,6.98%,0,0.00%,0,0.00%,44,12.79%,0,0.00%,1,0.29%,19,5.52%,112,32.56%,2,0.58%,0,0.00%,0,0.00%,344,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000273,,,,0000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,16,655,,Polling,0,0.00%,0,0.00%,1,6.25%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,7,43.75%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,6.25%,0,0.00%,0,0.00%,7,43.75%,0,0.00%,0,0.00%,0,0.00%,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,97,655,,Vote by Mail,0,0.00%,0,0.00%,4,4.44%,,0,0.00%,1,1.11%,,0,0.00%,1,1.11%,1,1.11%,32,35.56%,0,0.00%,7,7.78%,0,0.00%,0,0.00%,11,12.22%,0,0.00%,1,1.11%,1,1.11%,31,34.44%,0,0.00%,0,0.00%,0,0.00%,90,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,113,655,,Total,0,0.00%,0,0.00%,5,4.72%,,0,0.00%,1,0.94%,,0,0.00%,1,0.94%,1,0.94%,39,36.79%,0,0.00%,7,6.60%,0,0.00%,0,0.00%,11,10.38%,1,0.94%,1,0.94%,1,0.94%,38,35.85%,0,0.00%,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000274,,,,0000274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,1,3,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,2,3,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,3,3,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,66.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000275,,,,0000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,3,218,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,47,218,,Vote by Mail,0,0.00%,0,0.00%,2,4.26%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,18,38.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,19.15%,0,0.00%,0,0.00%,2,4.26%,15,31.91%,1,2.13%,0,0.00%,0,0.00%,47,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,50,218,,Total,0,0.00%,0,0.00%,2,4.08%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,38.78%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,18.37%,0,0.00%,0,0.00%,2,4.08%,16,32.65%,1,2.04%,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000276,,,,0000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,6,107,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,5,83.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,17,107,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,11,64.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,11.76%,0,0.00%,0,0.00%,1,5.88%,3,17.65%,0,0.00%,0,0.00%,0,0.00%,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,23,107,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,16,69.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,13.04%,0,0.00%,0,0.00%,1,4.35%,3,13.04%,0,0.00%,0,0.00%,0,0.00%,23,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000277,,,,0000277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,2,68,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,8,68,,Vote by Mail,0,0.00%,0,0.00%,1,12.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,2,25.00%,0,0.00%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,37.50%,0,0.00%,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,10,68,,Total,0,0.00%,0,0.00%,1,10.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,4,40.00%,0,0.00%,2,20.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,30.00%,0,0.00%,0,0.00%,0,0.00%,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000278,,,,0000278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,75,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,14,75,,Vote by Mail,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,4,28.57%,0,0.00%,0,0.00%,0,0.00%,2,14.29%,2,14.29%,0,0.00%,0,0.00%,2,14.29%,4,28.57%,0,0.00%,0,0.00%,0,0.00%,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,14,75,,Total,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,4,28.57%,0,0.00%,0,0.00%,0,0.00%,2,14.29%,2,14.29%,0,0.00%,0,0.00%,2,14.29%,4,28.57%,0,0.00%,0,0.00%,0,0.00%,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000279,,,,0000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,16,"1,186",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,9,56.25%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,18.75%,0,0.00%,0,0.00%,0,0.00%,4,25.00%,0,0.00%,0,0.00%,0,0.00%,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,127,"1,186",,Vote by Mail,1,0.83%,0,0.00%,14,11.57%,,1,0.83%,0,0.00%,,0,0.00%,0,0.00%,5,4.13%,42,34.71%,0,0.00%,8,6.61%,0,0.00%,1,0.83%,17,14.05%,0,0.00%,1,0.83%,5,4.13%,26,21.49%,0,0.00%,0,0.00%,0,0.00%,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,143,"1,186",,Total,1,0.73%,0,0.00%,14,10.22%,,1,0.73%,0,0.00%,,0,0.00%,0,0.00%,5,3.65%,51,37.23%,0,0.00%,8,5.84%,0,0.00%,1,0.73%,20,14.60%,0,0.00%,1,0.73%,5,3.65%,30,21.90%,0,0.00%,0,0.00%,0,0.00%,137,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000280,,,,0000280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,0,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,0,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,0,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000281,,,,0000281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,5,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,2,5,,Vote by Mail,0,0.00%,0,0.00%,1,50.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,2,5,,Total,0,0.00%,0,0.00%,1,50.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000282,,,,0000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,79,"1,881",,Polling,0,0.00%,0,0.00%,4,5.26%,,0,0.00%,0,0.00%,,1,1.32%,0,0.00%,0,0.00%,38,50.00%,0,0.00%,2,2.63%,0,0.00%,0,0.00%,4,5.26%,0,0.00%,0,0.00%,1,1.32%,26,34.21%,0,0.00%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,286,"1,881",,Vote by Mail,3,1.08%,1,0.36%,16,5.73%,,0,0.00%,0,0.00%,,1,0.36%,0,0.00%,6,2.15%,106,37.99%,2,0.72%,16,5.73%,0,0.00%,1,0.36%,38,13.62%,0,0.00%,2,0.72%,10,3.58%,76,27.24%,1,0.36%,0,0.00%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,365,"1,881",,Total,3,0.85%,1,0.28%,20,5.63%,,0,0.00%,0,0.00%,,2,0.56%,0,0.00%,6,1.69%,144,40.56%,2,0.56%,18,5.07%,0,0.00%,1,0.28%,42,11.83%,0,0.00%,2,0.56%,11,3.10%,102,28.73%,1,0.28%,0,0.00%,0,0.00%,355,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000283,,,,0000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,59,"2,095",,Polling,0,0.00%,0,0.00%,1,1.72%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,55.17%,0,0.00%,3,5.17%,0,0.00%,0,0.00%,4,6.90%,0,0.00%,1,1.72%,0,0.00%,17,29.31%,0,0.00%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,318,"2,095",,Vote by Mail,1,0.33%,0,0.00%,15,4.95%,,1,0.33%,3,0.99%,,1,0.33%,0,0.00%,8,2.64%,84,27.72%,0,0.00%,12,3.96%,0,0.00%,0,0.00%,45,14.85%,0,0.00%,0,0.00%,11,3.63%,118,38.94%,4,1.32%,0,0.00%,0,0.00%,303,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,377,"2,095",,Total,1,0.28%,0,0.00%,16,4.43%,,1,0.28%,3,0.83%,,1,0.28%,0,0.00%,8,2.22%,116,32.13%,0,0.00%,15,4.16%,0,0.00%,0,0.00%,49,13.57%,0,0.00%,1,0.28%,11,3.05%,135,37.40%,4,1.11%,0,0.00%,0,0.00%,361,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000284,,,,0000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,71,"2,424",,Polling,0,0.00%,0,0.00%,2,2.99%,,0,0.00%,1,1.49%,,0,0.00%,0,0.00%,1,1.49%,34,50.75%,0,0.00%,1,1.49%,0,0.00%,0,0.00%,6,8.96%,0,0.00%,0,0.00%,0,0.00%,22,32.84%,0,0.00%,0,0.00%,0,0.00%,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,393,"2,424",,Vote by Mail,1,0.27%,0,0.00%,17,4.67%,,1,0.27%,1,0.27%,,0,0.00%,0,0.00%,9,2.47%,99,27.20%,0,0.00%,18,4.95%,0,0.00%,1,0.27%,67,18.41%,1,0.27%,1,0.27%,26,7.14%,122,33.52%,0,0.00%,0,0.00%,0,0.00%,364,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,464,"2,424",,Total,1,0.23%,0,0.00%,19,4.41%,,1,0.23%,2,0.46%,,0,0.00%,0,0.00%,10,2.32%,133,30.86%,0,0.00%,19,4.41%,0,0.00%,1,0.23%,73,16.94%,1,0.23%,1,0.23%,26,6.03%,144,33.41%,0,0.00%,0,0.00%,0,0.00%,431,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000285,,,,0000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,56,"1,830",,Polling,0,0.00%,0,0.00%,5,9.09%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,26,47.27%,0,0.00%,1,1.82%,0,0.00%,0,0.00%,6,10.91%,0,0.00%,0,0.00%,1,1.82%,16,29.09%,0,0.00%,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,304,"1,830",,Vote by Mail,2,0.67%,0,0.00%,17,5.69%,,0,0.00%,1,0.33%,,0,0.00%,0,0.00%,8,2.68%,100,33.44%,0,0.00%,23,7.69%,0,0.00%,0,0.00%,47,15.72%,0,0.00%,1,0.33%,19,6.35%,79,26.42%,2,0.67%,0,0.00%,0,0.00%,299,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,360,"1,830",,Total,2,0.56%,0,0.00%,22,6.21%,,0,0.00%,1,0.28%,,0,0.00%,0,0.00%,8,2.26%,126,35.59%,0,0.00%,24,6.78%,0,0.00%,0,0.00%,53,14.97%,0,0.00%,1,0.28%,20,5.65%,95,26.84%,2,0.56%,0,0.00%,0,0.00%,354,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000286,,,,0000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
