Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Total,3,0,,Total,0,0.00%,0,0.00%,40,11.56%,,0,0.00%,9,2.60%,,0,0.00%,0,0.00%,5,1.45%,177,51.16%,1,0.29%,1,0.29%,0,0.00%,0,0.00%,31,8.96%,0,0.00%,1,0.29%,5,1.45%,76,21.97%,0,0.00%,0,0.00%,0,0.00%,346,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1118,,,,Pct 1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,58,21.09%,,1,0.36%,2,0.73%,,0,0.00%,0,0.00%,2,0.73%,118,42.91%,0,0.00%,8,2.91%,0,0.00%,0,0.00%,21,7.64%,0,0.00%,1,0.36%,8,2.91%,55,20.00%,1,0.36%,0,0.00%,0,0.00%,275,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,24,16.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,83,55.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,5.33%,0,0.00%,1,0.67%,0,0.00%,34,22.67%,0,0.00%,0,0.00%,0,0.00%,150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,82,19.29%,,1,0.24%,2,0.47%,,0,0.00%,0,0.00%,2,0.47%,201,47.29%,0,0.00%,8,1.88%,0,0.00%,0,0.00%,29,6.82%,0,0.00%,2,0.47%,8,1.88%,89,20.94%,1,0.24%,0,0.00%,0,0.00%,425,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1119,,,,Pct 1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,41,17.83%,,0,0.00%,4,1.74%,,0,0.00%,0,0.00%,2,0.87%,88,38.26%,0,0.00%,1,0.43%,0,0.00%,0,0.00%,37,16.09%,0,0.00%,0,0.00%,7,3.04%,50,21.74%,0,0.00%,0,0.00%,0,0.00%,230,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,18,16.51%,,0,0.00%,1,0.92%,,0,0.00%,0,0.00%,0,0.00%,66,60.55%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,3.67%,0,0.00%,0,0.00%,0,0.00%,20,18.35%,0,0.00%,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,0,0.00%,0,0.00%,59,17.40%,,0,0.00%,5,1.47%,,0,0.00%,0,0.00%,2,0.59%,154,45.43%,0,0.00%,1,0.29%,0,0.00%,0,0.00%,41,12.09%,0,0.00%,0,0.00%,7,2.06%,70,20.65%,0,0.00%,0,0.00%,0,0.00%,339,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1121,,,,Pct 1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,21,11.05%,,0,0.00%,4,2.11%,,0,0.00%,0,0.00%,2,1.05%,83,43.68%,0,0.00%,5,2.63%,0,0.00%,0,0.00%,29,15.26%,0,0.00%,0,0.00%,5,2.63%,40,21.05%,0,0.00%,1,0.53%,0,0.00%,190,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,14,12.73%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,55,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,10.00%,0,0.00%,0,0.00%,1,0.91%,28,25.45%,1,0.91%,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,35,11.67%,,0,0.00%,4,1.33%,,0,0.00%,0,0.00%,2,0.67%,138,46.00%,0,0.00%,5,1.67%,0,0.00%,0,0.00%,40,13.33%,0,0.00%,0,0.00%,6,2.00%,68,22.67%,1,0.33%,1,0.33%,0,0.00%,300,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1122,,,,Pct 1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,17,10.24%,,0,0.00%,12,7.23%,,0,0.00%,0,0.00%,2,1.20%,60,36.14%,0,0.00%,5,3.01%,0,0.00%,0,0.00%,28,16.87%,0,0.00%,0,0.00%,5,3.01%,35,21.08%,1,0.60%,1,0.60%,0,0.00%,166,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,15,18.75%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,42,52.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,8.75%,0,0.00%,0,0.00%,1,1.25%,15,18.75%,0,0.00%,0,0.00%,0,0.00%,80,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,32,13.01%,,0,0.00%,12,4.88%,,0,0.00%,0,0.00%,2,0.81%,102,41.46%,0,0.00%,5,2.03%,0,0.00%,0,0.00%,35,14.23%,0,0.00%,0,0.00%,6,2.44%,50,20.33%,1,0.41%,1,0.41%,0,0.00%,246,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1123,,,,Pct 1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,21,11.35%,,0,0.00%,7,3.78%,,0,0.00%,1,0.54%,1,0.54%,86,46.49%,1,0.54%,8,4.32%,0,0.00%,0,0.00%,18,9.73%,0,0.00%,0,0.00%,3,1.62%,39,21.08%,0,0.00%,0,0.00%,0,0.00%,185,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.72%,0,0.00%,19,13.77%,,1,0.72%,2,1.45%,,0,0.00%,0,0.00%,0,0.00%,81,58.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2.17%,0,0.00%,0,0.00%,0,0.00%,30,21.74%,1,0.72%,0,0.00%,0,0.00%,138,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,1,0.31%,0,0.00%,40,12.38%,,1,0.31%,9,2.79%,,0,0.00%,1,0.31%,1,0.31%,167,51.70%,1,0.31%,8,2.48%,0,0.00%,0,0.00%,21,6.50%,0,0.00%,0,0.00%,3,0.93%,69,21.36%,1,0.31%,0,0.00%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1124,,,,Pct 1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,1,,Vote by Mail,0,0.00%,0,0.00%,19,10.50%,,0,0.00%,10,5.52%,,0,0.00%,1,0.55%,1,0.55%,72,39.78%,0,0.00%,4,2.21%,0,0.00%,5,2.76%,28,15.47%,0,0.00%,0,0.00%,6,3.31%,33,18.23%,1,0.55%,1,0.55%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.94%,0,0.00%,10,9.43%,,0,0.00%,1,0.94%,,0,0.00%,0,0.00%,0,0.00%,65,61.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,9.43%,0,0.00%,1,0.94%,0,0.00%,18,16.98%,0,0.00%,0,0.00%,0,0.00%,106,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,1,,Total,1,0.35%,0,0.00%,29,10.10%,,0,0.00%,11,3.83%,,0,0.00%,1,0.35%,1,0.35%,137,47.74%,0,0.00%,4,1.39%,0,0.00%,5,1.74%,38,13.24%,0,0.00%,1,0.35%,6,2.09%,51,17.77%,1,0.35%,1,0.35%,0,0.00%,287,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1125,,,,Pct 1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,23,8.61%,,0,0.00%,8,3.00%,,0,0.00%,0,0.00%,3,1.12%,124,46.44%,0,0.00%,4,1.50%,0,0.00%,0,0.00%,37,13.86%,0,0.00%,0,0.00%,11,4.12%,53,19.85%,4,1.50%,0,0.00%,0,0.00%,267,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,1,0.95%,9,8.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,62,59.05%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,8.57%,0,0.00%,0,0.00%,0,0.00%,23,21.90%,1,0.95%,0,0.00%,0,0.00%,105,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,0,0.00%,1,0.27%,32,8.60%,,0,0.00%,8,2.15%,,0,0.00%,0,0.00%,3,0.81%,186,50.00%,0,0.00%,4,1.08%,0,0.00%,0,0.00%,46,12.37%,0,0.00%,0,0.00%,11,2.96%,76,20.43%,5,1.34%,0,0.00%,0,0.00%,372,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1126,,,,Pct 1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,28,12.67%,,0,0.00%,6,2.71%,,0,0.00%,0,0.00%,1,0.45%,101,45.70%,0,0.00%,2,0.90%,0,0.00%,0,0.00%,33,14.93%,0,0.00%,1,0.45%,8,3.62%,36,16.29%,2,0.90%,3,1.36%,0,0.00%,221,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,12,12.12%,,0,0.00%,0,0.00%,,0,0.00%,1,1.01%,0,0.00%,51,51.52%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,8.08%,0,0.00%,0,0.00%,0,0.00%,26,26.26%,1,1.01%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,40,12.50%,,0,0.00%,6,1.88%,,0,0.00%,1,0.31%,1,0.31%,152,47.50%,0,0.00%,2,0.63%,0,0.00%,0,0.00%,41,12.81%,0,0.00%,1,0.31%,8,2.50%,62,19.38%,3,0.94%,3,0.94%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1127,,,,Pct 1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,0,0.00%,0,0.00%,27,13.17%,,0,0.00%,14,6.83%,,0,0.00%,0,0.00%,5,2.44%,80,39.02%,0,0.00%,4,1.95%,0,0.00%,0,0.00%,22,10.73%,0,0.00%,0,0.00%,8,3.90%,42,20.49%,0,0.00%,3,1.46%,0,0.00%,205,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,18,14.06%,,0,0.00%,0,0.00%,,1,0.78%,0,0.00%,2,1.56%,67,52.34%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,7.81%,0,0.00%,0,0.00%,0,0.00%,30,23.44%,0,0.00%,0,0.00%,0,0.00%,128,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,1,,Total,0,0.00%,0,0.00%,45,13.51%,,0,0.00%,14,4.20%,,1,0.30%,0,0.00%,7,2.10%,147,44.14%,0,0.00%,4,1.20%,0,0.00%,0,0.00%,32,9.61%,0,0.00%,0,0.00%,8,2.40%,72,21.62%,0,0.00%,3,0.90%,0,0.00%,333,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1128,,,,Pct 1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,3,,Vote by Mail,0,0.00%,0,0.00%,13,6.37%,,0,0.00%,12,5.88%,,0,0.00%,0,0.00%,5,2.45%,97,47.55%,0,0.00%,5,2.45%,0,0.00%,0,0.00%,21,10.29%,0,0.00%,0,0.00%,10,4.90%,41,20.10%,0,0.00%,0,0.00%,0,0.00%,204,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,19,19.79%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,46,47.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,8.33%,0,0.00%,0,0.00%,0,0.00%,23,23.96%,0,0.00%,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,3,,Total,0,0.00%,0,0.00%,32,10.67%,,0,0.00%,12,4.00%,,0,0.00%,0,0.00%,5,1.67%,143,47.67%,0,0.00%,5,1.67%,0,0.00%,0,0.00%,29,9.67%,0,0.00%,0,0.00%,10,3.33%,64,21.33%,0,0.00%,0,0.00%,0,0.00%,300,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1129,,,,Pct 1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,15,6.44%,,0,0.00%,13,5.58%,,0,0.00%,2,0.86%,2,0.86%,99,42.49%,1,0.43%,2,0.86%,0,0.00%,1,0.43%,41,17.60%,0,0.00%,0,0.00%,4,1.72%,52,22.32%,1,0.43%,0,0.00%,0,0.00%,233,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,11,8.94%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,66,53.66%,1,0.81%,1,0.81%,0,0.00%,0,0.00%,7,5.69%,0,0.00%,0,0.00%,1,0.81%,34,27.64%,2,1.63%,0,0.00%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,26,7.30%,,0,0.00%,13,3.65%,,0,0.00%,2,0.56%,2,0.56%,165,46.35%,2,0.56%,3,0.84%,0,0.00%,1,0.28%,48,13.48%,0,0.00%,0,0.00%,5,1.40%,86,24.16%,3,0.84%,0,0.00%,0,0.00%,356,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1131,,,,Pct 1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,3,1.54%,0,0.00%,24,12.31%,,1,0.51%,7,3.59%,,1,0.51%,1,0.51%,2,1.03%,77,39.49%,0,0.00%,4,2.05%,0,0.00%,0,0.00%,18,9.23%,0,0.00%,0,0.00%,8,4.10%,46,23.59%,3,1.54%,0,0.00%,0,0.00%,195,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,13,13.13%,,0,0.00%,0,0.00%,,0,0.00%,1,1.01%,0,0.00%,50,50.51%,0,0.00%,1,1.01%,0,0.00%,0,0.00%,9,9.09%,0,0.00%,0,0.00%,0,0.00%,24,24.24%,1,1.01%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,3,1.02%,0,0.00%,37,12.59%,,1,0.34%,7,2.38%,,1,0.34%,2,0.68%,2,0.68%,127,43.20%,0,0.00%,5,1.70%,0,0.00%,0,0.00%,27,9.18%,0,0.00%,0,0.00%,8,2.72%,70,23.81%,4,1.36%,0,0.00%,0,0.00%,294,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1132,,,,Pct 1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,1,0.37%,0,0.00%,41,15.19%,,1,0.37%,13,4.81%,,0,0.00%,0,0.00%,2,0.74%,111,41.11%,0,0.00%,1,0.37%,0,0.00%,1,0.37%,32,11.85%,0,0.00%,0,0.00%,12,4.44%,54,20.00%,0,0.00%,1,0.37%,0,0.00%,270,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,3,1,,Election Day,0,0.00%,2,2.13%,10,10.64%,,0,0.00%,2,2.13%,,0,0.00%,0,0.00%,0,0.00%,47,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,6.38%,0,0.00%,0,0.00%,0,0.00%,27,28.72%,0,0.00%,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,2,,Total,1,0.27%,2,0.55%,51,14.01%,,1,0.27%,15,4.12%,,0,0.00%,0,0.00%,2,0.55%,158,43.41%,0,0.00%,1,0.27%,0,0.00%,1,0.27%,38,10.44%,0,0.00%,0,0.00%,12,3.30%,81,22.25%,0,0.00%,1,0.27%,0,0.00%,364,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1133,,,,Pct 1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,1,,Vote by Mail,0,0.00%,0,0.00%,31,12.45%,,1,0.40%,4,1.61%,,0,0.00%,2,0.80%,3,1.20%,107,42.97%,0,0.00%,4,1.61%,0,0.00%,0,0.00%,39,15.66%,0,0.00%,0,0.00%,13,5.22%,42,16.87%,1,0.40%,2,0.80%,0,0.00%,249,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,16,16.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,43,43.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,15.00%,0,0.00%,0,0.00%,0,0.00%,26,26.00%,0,0.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,1,,Total,0,0.00%,0,0.00%,47,13.47%,,1,0.29%,4,1.15%,,0,0.00%,2,0.57%,3,0.86%,150,42.98%,0,0.00%,4,1.15%,0,0.00%,0,0.00%,54,15.47%,0,0.00%,0,0.00%,13,3.72%,68,19.48%,1,0.29%,2,0.57%,0,0.00%,349,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1134,,,,Pct 1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,1,0.51%,0,0.00%,28,14.36%,,0,0.00%,6,3.08%,,0,0.00%,0,0.00%,3,1.54%,78,40.00%,0,0.00%,3,1.54%,0,0.00%,1,0.51%,27,13.85%,0,0.00%,0,0.00%,10,5.13%,36,18.46%,2,1.03%,0,0.00%,0,0.00%,195,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,12,9.92%,,0,0.00%,0,0.00%,,0,0.00%,1,0.83%,1,0.83%,74,61.16%,0,0.00%,0,0.00%,0,0.00%,1,0.83%,7,5.79%,0,0.00%,0,0.00%,0,0.00%,25,20.66%,0,0.00%,0,0.00%,0,0.00%,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,0,,Total,1,0.32%,0,0.00%,40,12.66%,,0,0.00%,6,1.90%,,0,0.00%,1,0.32%,4,1.27%,152,48.10%,0,0.00%,3,0.95%,0,0.00%,2,0.63%,34,10.76%,0,0.00%,0,0.00%,10,3.16%,61,19.30%,2,0.63%,0,0.00%,0,0.00%,316,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1135,,,,Pct 1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,0,0.00%,0,0.00%,16,9.36%,,0,0.00%,3,1.75%,,0,0.00%,0,0.00%,0,0.00%,74,43.27%,0,0.00%,5,2.92%,0,0.00%,0,0.00%,32,18.71%,0,0.00%,0,0.00%,10,5.85%,31,18.13%,0,0.00%,0,0.00%,0,0.00%,171,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,8,14.55%,,0,0.00%,1,1.82%,,0,0.00%,0,0.00%,0,0.00%,27,49.09%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,5.45%,0,0.00%,0,0.00%,0,0.00%,16,29.09%,0,0.00%,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,24,10.62%,,0,0.00%,4,1.77%,,0,0.00%,0,0.00%,0,0.00%,101,44.69%,0,0.00%,5,2.21%,0,0.00%,0,0.00%,35,15.49%,0,0.00%,0,0.00%,10,4.42%,47,20.80%,0,0.00%,0,0.00%,0,0.00%,226,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1136,,,,Pct 1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,0,0.00%,0,0.00%,27,11.16%,,0,0.00%,7,2.89%,,0,0.00%,0,0.00%,6,2.48%,95,39.26%,0,0.00%,8,3.31%,1,0.41%,0,0.00%,28,11.57%,0,0.00%,1,0.41%,14,5.79%,55,22.73%,0,0.00%,0,0.00%,0,0.00%,242,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,2,,Election Day,0,0.00%,0,0.00%,9,9.18%,,0,0.00%,3,3.06%,,0,0.00%,0,0.00%,0,0.00%,52,53.06%,0,0.00%,2,2.04%,0,0.00%,0,0.00%,6,6.12%,0,0.00%,1,1.02%,0,0.00%,23,23.47%,1,1.02%,1,1.02%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,3,,Total,0,0.00%,0,0.00%,36,10.59%,,0,0.00%,10,2.94%,,0,0.00%,0,0.00%,6,1.76%,147,43.24%,0,0.00%,10,2.94%,1,0.29%,0,0.00%,34,10.00%,0,0.00%,2,0.59%,14,4.12%,78,22.94%,1,0.29%,1,0.29%,0,0.00%,340,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1141,,,,Pct 1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,42,14.19%,,0,0.00%,1,0.34%,,0,0.00%,0,0.00%,3,1.01%,117,39.53%,0,0.00%,5,1.69%,0,0.00%,1,0.34%,42,14.19%,0,0.00%,0,0.00%,14,4.73%,70,23.65%,1,0.34%,0,0.00%,0,0.00%,296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,20,11.76%,,0,0.00%,1,0.59%,,0,0.00%,0,0.00%,1,0.59%,95,55.88%,0,0.00%,1,0.59%,0,0.00%,1,0.59%,8,4.71%,0,0.00%,0,0.00%,0,0.00%,42,24.71%,1,0.59%,0,0.00%,0,0.00%,170,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,62,13.30%,,0,0.00%,2,0.43%,,0,0.00%,0,0.00%,4,0.86%,212,45.49%,0,0.00%,6,1.29%,0,0.00%,2,0.43%,50,10.73%,0,0.00%,0,0.00%,14,3.00%,112,24.03%,2,0.43%,0,0.00%,0,0.00%,466,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1142,,,,Pct 1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,1,0.41%,0,0.00%,51,20.73%,,0,0.00%,1,0.41%,,1,0.41%,0,0.00%,4,1.63%,118,47.97%,0,0.00%,1,0.41%,0,0.00%,0,0.00%,19,7.72%,0,0.00%,0,0.00%,8,3.25%,40,16.26%,2,0.81%,0,0.00%,0,0.00%,246,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
