,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Vote by Mail,121,49,40.495867768595%,0,0,10,0,0,0,0,2,6,0,1,0,0,14,0,0,11,4,1,0,49,0,0,0,0,0,0,0
Canvass,121,59,48.7603305785124%,0,0,14,0,0,0,0,4,15,0,0,0,0,7,0,0,4,14,1,0,59,0,0,0,0,0,0,0
Total,121,108,89.2561983471074%,0,0,24,0,0,0,0,6,21,0,1,0,0,21,0,0,15,18,2,0,108,0,0,0,0,0,0,0
1057 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,8,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,8,1,12.5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Canvass,8,4,50%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0
Total,8,5,62.5%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0
1058  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,5,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,5,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,5,6,120%,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0
Total,5,6,120%,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0
1059  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,15,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,15,2,13.3333333333333%,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Canvass,15,7,46.6666666666667%,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,7,0,0,0,0,0,0,0
Total,15,9,60%,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,2,0,0,9,0,0,0,0,0,0,0
1062  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,6,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,6,6,100%,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Canvass,6,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,6,6,100%,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0
1063  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,20,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,20,7,35%,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0
Canvass,20,11,55%,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0
Total,20,18,90%,0,0,2,0,1,0,0,3,4,0,0,0,0,1,0,0,1,6,0,0,18,0,0,0,0,0,0,0
1064  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,12,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,12,5,41.6666666666667%,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Canvass,12,5,41.6666666666667%,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0
Total,12,10,83.3333333333333%,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,10,0,0,0,0,0,0,0
1065  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,34,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,34,16,47.0588235294118%,0,0,1,0,0,0,0,1,10,0,0,0,0,1,0,0,1,2,0,0,16,0,0,0,0,0,0,0
Canvass,34,13,38.2352941176471%,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,12,0,0,0,0,0,0,0
Total,34,29,85.2941176470588%,0,0,2,0,0,0,0,1,15,0,0,0,0,1,0,0,3,6,0,0,28,0,0,0,0,0,0,0
1067  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,33,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,33,8,24.2424242424242%,0,0,2,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,8,0,0,0,0,0,0,0
Canvass,33,22,66.6666666666667%,0,0,2,0,0,0,0,0,4,0,0,0,0,3,0,0,1,12,0,0,22,0,0,0,0,0,0,0
Total,33,30,90.9090909090909%,0,0,4,0,0,0,0,1,4,0,1,0,0,6,0,0,1,13,0,0,30,0,0,0,0,0,0,0
1069  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,3,2,66.6666666666667%,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Canvass,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,3,2,66.6666666666667%,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1070  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,4,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,4,1,25%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvass,4,4,100%,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Total,4,5,125%,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1071  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,125,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,125,51,40.8%,0,0,6,0,1,0,0,2,13,0,3,0,0,10,0,0,12,4,0,0,51,0,0,0,0,0,0,0
Canvass,125,83,66.4%,0,0,15,0,0,0,0,3,20,0,0,0,0,10,0,0,8,27,0,0,83,0,0,0,0,0,0,0
Total,125,134,107.2%,0,0,21,0,1,0,0,5,33,0,3,0,0,20,0,0,20,31,0,0,134,0,0,0,0,0,0,0
1073  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,10,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,10,6,60%,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0
Canvass,10,3,30%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Total,10,9,90%,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,0,0
1074  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,123,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,123,26,21.1382113821138%,0,0,4,0,0,0,0,3,5,0,0,0,0,8,0,0,4,2,0,0,26,0,0,0,0,0,0,0
Canvass,123,69,56.0975609756098%,0,0,16,0,0,0,0,2,9,0,0,0,0,6,0,0,4,32,0,0,69,0,0,0,0,0,0,0
Total,123,95,77.2357723577236%,0,0,20,0,0,0,0,5,14,0,0,0,0,14,0,0,8,34,0,0,95,0,0,0,0,0,0,0
1075  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,59,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,59,21,35.5932203389831%,0,0,0,0,0,0,0,2,0,0,3,1,0,10,0,0,1,3,0,1,21,0,0,0,0,0,0,0
Canvass,59,24,40.6779661016949%,0,0,4,0,0,0,0,3,2,0,0,0,0,3,0,0,2,10,0,0,24,0,0,0,0,0,0,0
Total,59,45,76.271186440678%,0,0,4,0,0,0,0,5,2,0,3,1,0,13,0,0,3,13,0,1,45,0,0,0,0,0,0,0
1076  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,60,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,60,16,26.6666666666667%,0,0,1,0,0,0,0,2,1,0,2,0,0,6,0,0,2,2,0,0,16,0,0,0,0,0,0,0
Canvass,60,31,51.6666666666667%,0,0,2,0,1,0,0,0,8,0,0,0,0,6,0,0,1,13,0,0,31,0,0,0,0,0,0,0
Total,60,47,78.3333333333333%,0,0,3,0,1,0,0,2,9,0,2,0,0,12,0,0,3,15,0,0,47,0,0,0,0,0,0,0
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,181,48,26.5193370165746%,0,0,3,1,0,0,0,0,11,0,0,0,0,6,0,0,0,24,2,0,47,0,0,0,0,0,0,0
Vote by Mail,181,53,29.2817679558011%,0,0,6,0,0,0,0,8,6,0,2,0,0,17,0,0,8,5,0,0,52,0,0,0,0,0,0,0
Canvass,181,76,41.9889502762431%,0,0,11,0,0,0,0,1,10,0,0,0,0,13,0,0,2,38,0,0,75,0,0,0,0,0,0,0
Total,181,177,97.7900552486188%,0,0,20,1,0,0,0,9,27,0,2,0,0,36,0,0,10,67,2,0,174,0,0,0,0,0,0,0
1078  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,10,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,10,3,30%,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Canvass,10,8,80%,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,8,0,0,0,0,0,0,0
Total,10,11,110%,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,11,0,0,0,0,0,0,0
1079  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,59,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,59,26,44.0677966101695%,0,0,3,0,0,0,0,3,1,0,0,0,0,11,0,0,5,3,0,0,26,0,0,0,0,0,0,0
Canvass,59,30,50.8474576271186%,0,0,4,0,0,0,0,2,8,0,1,0,0,5,0,0,1,9,0,0,30,0,0,0,0,0,0,0
Total,59,56,94.9152542372881%,0,0,7,0,0,0,0,5,9,0,1,0,0,16,0,0,6,12,0,0,56,0,0,0,0,0,0,0
1083  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,67,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,67,33,49.2537313432836%,0,0,1,0,0,0,0,1,10,0,4,0,0,6,0,0,1,9,0,0,32,0,0,0,0,0,0,0
Canvass,67,18,26.865671641791%,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,9,0,0,18,0,0,0,0,0,0,0
Total,67,51,76.1194029850746%,0,0,1,1,0,0,0,1,13,0,4,0,0,11,0,0,1,18,0,0,50,0,0,0,0,0,0,0
1085  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,12,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,12,5,41.6666666666667%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
Canvass,12,5,41.6666666666667%,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Total,12,10,83.3333333333333%,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
1086  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,16,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,16,6,37.5%,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0
Canvass,16,12,75%,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,3,0,0,12,0,0,0,0,0,0,0
Total,16,18,112.5%,0,0,0,0,0,0,0,0,9,0,1,0,0,3,0,0,1,4,0,0,18,0,0,0,0,0,0,0
1088  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,39,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,39,14,35.8974358974359%,0,0,2,0,0,0,0,3,1,0,0,0,0,3,0,0,0,4,1,0,14,0,0,0,0,0,0,0
Canvass,39,17,43.5897435897436%,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,6,0,0,17,0,0,0,0,0,0,0
Total,39,31,79.4871794871795%,0,0,8,0,0,0,0,3,5,0,0,0,0,3,0,0,1,10,1,0,31,0,0,0,0,0,0,0
1089  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,24,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,24,9,37.5%,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,2,1,0,0,9,0,0,0,0,0,0,0
Canvass,24,13,54.1666666666667%,0,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,1,2,0,0,13,0,0,0,0,0,0,0
Total,24,22,91.6666666666667%,0,0,7,0,0,0,0,0,5,0,0,0,0,4,0,0,3,3,0,0,22,0,0,0,0,0,0,0
1093  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,37,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,37,10,27.027027027027%,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,9,0,0,0,0,0,0,0
Canvass,37,30,81.0810810810811%,0,0,5,0,0,0,0,0,2,0,0,0,0,7,0,0,1,15,0,0,30,0,0,0,0,0,0,0
Total,37,40,108.108108108108%,0,0,8,0,0,0,0,0,2,0,0,0,0,8,0,1,3,17,0,0,39,0,0,0,0,0,0,0
1094  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,86,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,86,26,30.2325581395349%,0,0,6,0,0,0,0,3,5,0,0,0,0,7,0,0,5,0,0,0,26,0,0,0,0,0,0,0
Canvass,86,57,66.2790697674419%,0,0,14,0,0,0,0,1,15,0,1,0,0,11,0,0,1,14,0,0,57,0,0,0,0,0,0,0
Total,86,83,96.5116279069768%,0,0,20,0,0,0,0,4,20,0,1,0,0,18,0,0,6,14,0,0,83,0,0,0,0,0,0,0
1095  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,100,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,100,38,38%,0,0,10,0,0,0,0,3,5,0,1,0,0,8,0,0,2,8,0,0,37,0,0,0,0,0,0,0
Canvass,100,41,41%,1,0,5,0,1,0,0,2,18,0,0,0,0,3,0,0,2,9,0,0,41,0,0,0,0,0,0,0
Total,100,79,79%,1,0,15,0,1,0,0,5,23,0,1,0,0,11,0,0,4,17,0,0,78,0,0,0,0,0,0,0
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,493,80,16.2271805273834%,0,0,5,0,0,0,0,0,30,0,0,0,0,12,0,0,0,31,1,0,79,0,0,0,0,0,0,0
Vote by Mail,493,149,30.2231237322515%,0,0,15,0,2,0,1,8,42,0,5,0,0,26,0,0,15,26,3,1,144,0,0,0,0,0,0,0
Canvass,493,212,43.0020283975659%,0,0,28,0,0,0,0,1,74,0,3,0,0,25,0,0,10,67,0,0,208,0,0,0,0,0,0,0
Total,493,441,89.4523326572008%,0,0,48,0,2,0,1,9,146,0,8,0,0,63,0,0,25,124,4,1,431,0,0,0,0,0,0,0
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,355,61,17.1830985915493%,0,0,10,0,0,0,0,0,27,0,0,0,0,3,0,0,0,20,0,0,60,0,0,0,0,0,0,0
Vote by Mail,355,113,31.830985915493%,0,0,15,1,1,0,0,6,36,0,8,0,0,14,0,0,15,15,0,0,111,0,0,0,0,0,0,0
Canvass,355,141,39.7183098591549%,0,0,36,0,1,0,0,0,55,0,1,0,1,10,0,0,1,33,3,0,141,0,0,0,0,0,0,0
Total,355,315,88.7323943661972%,0,0,61,1,2,0,0,6,118,0,9,0,1,27,0,0,16,68,3,0,312,0,0,0,0,0,0,0
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,249,42,16.8674698795181%,0,0,4,0,0,0,0,0,15,0,0,0,0,5,0,0,0,18,0,0,42,0,0,0,0,0,0,0
Vote by Mail,249,78,31.3253012048193%,0,0,6,0,1,0,0,5,16,0,1,0,0,17,0,0,21,10,0,0,77,0,0,0,0,0,0,0
Canvass,249,104,41.7670682730924%,0,0,19,0,0,0,0,3,27,0,1,0,0,9,0,0,4,40,1,0,104,0,0,0,0,0,0,0
Total,249,224,89.9598393574297%,0,0,29,0,1,0,0,8,58,0,2,0,0,31,0,0,25,68,1,0,223,0,0,0,0,0,0,0
1109  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,79,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,79,38,48.1012658227848%,0,0,7,0,0,0,0,3,4,0,1,0,0,13,0,0,6,3,0,0,37,0,0,0,0,0,0,0
Canvass,79,39,49.3670886075949%,0,0,5,0,0,0,0,1,9,0,1,0,0,6,0,0,1,16,0,0,39,0,0,0,0,0,0,0
Total,79,77,97.4683544303798%,0,0,12,0,0,0,0,4,13,0,2,0,0,19,0,0,7,19,0,0,76,0,0,0,0,0,0,0
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,803,150,18.6799501867995%,0,0,26,0,1,0,0,0,34,0,0,0,0,17,0,0,0,69,2,0,149,0,0,0,0,0,0,0
Vote by Mail,803,265,33.0012453300125%,0,0,31,0,1,0,0,24,47,0,12,0,0,66,0,0,40,37,1,0,259,0,0,0,0,0,0,0
Canvass,803,395,49.1905354919054%,0,0,52,0,0,0,0,12,87,2,5,0,0,54,0,0,14,161,4,0,391,0,0,0,0,0,0,0
Total,803,810,100.871731008717%,0,0,109,0,2,0,0,36,168,2,17,0,0,137,0,0,54,267,7,0,799,0,0,0,0,0,0,0
1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,543,69,12.707182320442%,0,0,10,0,0,0,0,1,19,0,0,0,0,5,0,0,0,28,3,0,66,0,0,0,0,0,0,0
Vote by Mail,543,230,42.3572744014733%,0,1,24,1,0,0,0,32,41,0,10,0,0,54,0,0,36,23,3,0,225,0,0,0,0,0,0,0
Canvass,543,209,38.4898710865562%,0,0,28,0,0,0,0,13,40,0,6,0,0,25,0,0,5,89,1,0,207,0,0,0,0,0,0,0
Total,543,508,93.5543278084715%,0,1,62,1,0,0,0,46,100,0,16,0,0,84,0,0,41,140,7,0,498,0,0,0,0,0,0,0
1114  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,27,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,27,13,48.1481481481481%,0,0,4,0,0,0,0,1,3,0,0,0,0,2,0,0,0,2,0,0,12,0,0,0,0,0,0,0
Canvass,27,12,44.4444444444444%,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0
Total,27,25,92.5925925925926%,0,0,4,0,1,0,0,1,5,0,0,0,0,2,0,0,0,11,0,0,24,0,0,0,0,0,0,0
1115  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,33,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,33,15,45.4545454545455%,0,0,1,0,0,0,0,3,2,0,0,0,0,4,0,0,5,0,0,0,15,0,0,0,0,0,0,0
Canvass,33,16,48.4848484848485%,0,0,7,1,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,16,0,0,0,0,0,0,0
Total,33,31,93.9393939393939%,0,0,8,1,0,0,0,3,2,0,0,0,0,8,0,0,6,3,0,0,31,0,0,0,0,0,0,0
1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1092,174,15.9340659340659%,0,0,22,0,3,0,0,4,78,1,2,0,0,14,0,0,0,48,1,0,173,0,0,0,0,0,0,0
Vote by Mail,1092,282,25.8241758241758%,0,2,30,0,5,0,0,20,98,0,13,0,0,48,0,1,26,33,1,0,277,0,0,0,0,0,0,0
Canvass,1092,429,39.2857142857143%,1,0,58,2,2,0,0,5,159,0,11,0,0,35,0,0,11,142,0,0,426,0,0,0,0,0,0,0
Total,1092,885,81.043956043956%,1,2,110,2,10,0,0,29,335,1,26,0,0,97,0,1,37,223,2,0,876,0,0,0,0,0,0,0
1119  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,21,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
