,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Total,85,75,88.2352941176471%,0,0,12,0,0,0,0,2,25,0,0,0,0,12,0,0,4,17,2,0,74,0,0,0,0,0,0,0
1048  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,67,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,67,23,34.3283582089552%,0,0,2,0,1,0,0,2,7,0,0,0,0,6,0,0,3,1,0,0,22,0,0,0,0,0,0,0
Canvass,67,36,53.7313432835821%,0,0,5,0,0,0,0,1,7,0,1,0,0,4,0,1,3,13,0,0,35,0,0,0,0,0,0,0
Total,67,59,88.0597014925373%,0,0,7,0,1,0,0,3,14,0,1,0,0,10,0,1,6,14,0,0,57,0,0,0,0,0,0,0
1049  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,50,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,50,21,42%,0,0,2,0,0,0,0,0,6,0,0,0,0,4,0,0,6,2,1,0,21,0,0,0,0,0,0,0
Canvass,50,28,56%,0,0,7,0,0,0,0,0,10,0,0,0,0,1,0,0,3,7,0,0,28,0,0,0,0,0,0,0
Total,50,49,98%,0,0,9,0,0,0,0,0,16,0,0,0,0,5,0,0,9,9,1,0,49,0,0,0,0,0,0,0
1052  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,69,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,69,30,43.4782608695652%,0,0,3,0,0,0,0,1,7,0,1,0,0,14,0,0,2,2,0,0,30,0,0,0,0,0,0,0
Canvass,69,29,42.0289855072464%,0,0,2,0,0,0,0,2,8,0,3,0,0,6,1,0,1,6,0,0,29,0,0,0,0,0,0,0
Total,69,59,85.5072463768116%,0,0,5,0,0,0,0,3,15,0,4,0,0,20,1,0,3,8,0,0,59,0,0,0,0,0,0,0
1053  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,65,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,65,24,36.9230769230769%,0,0,3,0,0,0,0,3,4,0,1,0,0,8,0,0,4,1,0,0,24,0,0,0,0,0,0,0
Canvass,65,40,61.5384615384615%,0,0,14,0,0,0,0,1,9,0,0,0,0,3,0,0,0,13,0,0,40,0,0,0,0,0,0,0
Total,65,64,98.4615384615385%,0,0,17,0,0,0,0,4,13,0,1,0,0,11,0,0,4,14,0,0,64,0,0,0,0,0,0,0
1054  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,9,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,9,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,9,8,88.8888888888889%,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,8,0,0,0,0,0,0,0
Total,9,8,88.8888888888889%,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,8,0,0,0,0,0,0,0
1055  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,88,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,88,29,32.9545454545455%,0,0,4,0,1,0,0,6,7,0,0,0,0,7,0,0,3,1,0,0,29,0,0,0,0,0,0,0
Canvass,88,49,55.6818181818182%,0,0,6,0,0,0,0,0,23,0,0,0,0,3,0,0,1,15,0,0,48,0,0,0,0,0,0,0
Total,88,78,88.6363636363636%,0,0,10,0,1,0,0,6,30,0,0,0,0,10,0,0,4,16,0,0,77,0,0,0,0,0,0,0
1056  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,121,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
