,ID,District,AREA,Code,percent
1340,39,44,100.18,2550091A,0.11348589464389958
1341,48,52,44.24,2550091A,0.8865141053560056
1342,39,44,100.18,2550039A,1.0000000000000004
1343,39,44,100.18,2550095A,1.0000000000000002
1344,39,44,100.18,2550029A,0.9999999999999993
1345,39,44,100.18,2550042A,1.0000000000000004
1346,39,44,100.18,2550062A,1.0
1347,39,44,100.18,2550036A,0.9999999999999983
1348,39,44,100.18,2550049A,1.0000000000000004
1349,39,44,100.18,2550032A,0.9875686677883916
1351,39,44,100.18,2550074A,0.9999999999999997
1352,39,44,100.18,2550041A,0.9999999999999997
1353,39,44,100.18,2550004A,1.0000000000000002
1354,39,44,100.18,2550098A,0.999611612502763
1356,39,44,100.18,2550069A,1.0000000000000002
1357,39,44,100.18,2550048B,1.0
1358,39,44,100.18,2550053A,0.9999999999999991
1359,39,44,100.18,2550050A,1.0000000000000002
1360,39,44,100.18,2550073A,1.0000000000000004
1361,39,44,100.18,2550067A,1.0000000000000009
1362,39,44,100.18,2550060A,1.0000000000000002
1363,39,44,100.18,0950190A,1.0000000000000002
1364,39,44,100.18,0950012A,0.9999199778408142
1366,39,44,100.18,0950181A,0.9999999999999994
1367,39,44,100.18,0950177A,1.0000000000000004
1368,41,46,77.82,9000140A,1.0000000000000002
1369,41,46,77.82,9000137B,1.0000000000000002
1370,41,46,77.82,9000148A,1.0000000000000002
1371,41,46,77.82,9000151A,0.9999999999999993
1372,41,46,77.82,9002321A,1.0000000000000002
1373,41,46,77.82,9000157A,1.0000000000000004
1374,41,46,77.82,9000727A,0.9999999999999997
1375,41,46,77.82,9000805B,1.0000000000000004
1376,41,46,77.82,9005189A,1.0
1377,41,46,77.82,9000201A,0.9999999999999998
1378,41,46,77.82,9001640A,0.9999999999999994
1379,41,46,77.82,9000624C,1.0000000000000004
1380,41,46,77.82,9000742A,1.000000000000001
1381,41,46,77.82,9000174A,1.0000000000000009
1382,41,46,77.82,9000255A,0.9999999999999998
1383,41,46,77.82,9000132A,0.9999999999999997
1384,41,46,77.82,9000234A,1.0000000000000004
1385,41,46,77.82,9000238A,0.9999999999999994
1386,41,46,77.82,9006434A,1.0000000000000002
1387,41,46,77.82,9006426A,1.0000000000000002
1388,41,46,77.82,9006440A,0.9999999999999993
1389,41,46,77.82,9006477A,0.9999999999999992
1390,41,46,77.82,9006438A,1.0000000000000004
1391,41,46,77.82,9006428A,0.9999999999999998
1392,41,46,77.82,9000100B,1.0000000000000007
1393,41,46,77.82,9001877A,1.0000000000000002
1394,41,46,77.82,9000124A,1.0000000000000002
1395,41,46,77.82,9000182A,1.0000000000000009
1396,41,46,77.82,9006441B,1.0000000000000002
1397,41,46,77.82,9002307A,0.9999999999999994
1398,41,46,77.82,9000429A,1.0000000000000009
1399,41,46,77.82,9006495A,1.0
1400,41,46,77.82,9000359B,1.0000000000000007
1401,41,46,77.82,9000711A,0.9999999999999998
1402,41,46,77.82,9000175A,1.0000000000000009
1403,41,46,77.82,9006411A,1.0000000000000004
1404,41,46,77.82,9000423A,0.9999999999999998
1405,41,46,77.82,9007884A,1.0000000000000007
1406,41,46,77.82,9006602A,1.0000000000000002
1407,41,46,77.82,9000206A,0.9999999999999999
1408,41,46,77.82,9000098A,1.0000000000000002
1409,41,46,77.82,9000181A,0.9999999999999993
1410,41,46,77.82,9001695A,1.0000000000000004
1411,41,46,77.82,9006490A,0.9999999999999998
1412,41,46,77.82,9000096B,1.0000000000000007
1413,41,46,77.82,9006436A,0.9999999999999993
1414,41,46,77.82,9000525B,1.0
1415,41,46,77.82,9000187A,0.9999999999999992
1416,41,46,77.82,9000128A,1.0000000000000002
1417,41,46,77.82,9000393C,1.0
1418,41,46,77.82,9000155B,0.9999999999999997
1419,41,46,77.82,9000159A,0.9999999999999996
1420,41,46,77.82,9000160A,0.9999999999999997
1421,41,46,77.82,9000777B,0.9999999999999999
1422,41,46,77.82,9003681B,1.0000000000000013
1423,41,46,77.82,9006445B,1.0
1424,41,46,77.82,9006615A,1.0
1425,41,46,77.82,9000227A,1.0000000000000002
1426,41,46,77.82,9000527A,1.0000000000000013
1427,41,46,77.82,9001039A,1.0
1428,41,46,77.82,9007960A,0.9999999999999996
1429,41,46,77.82,9000065A,0.9999999999999998
1430,41,46,77.82,9006651A,1.0
1431,41,46,77.82,9000063B,1.0000000000000007
1432,41,46,77.82,9004240A,1.0000000000000007
