Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
31050,Vote by Mail,1224,595,48.61 %,,,105,396,,72,,,
31050,Polling Place,1224,335,27.37 %,,,95,192,,24,2,,
31050,Total,1224,930,75.98 %,,,200,588,,96,2,,
31070,Vote by Mail,1356,632,46.61 %,,,170,402,,38,,,
31070,Polling Place,1356,379,27.95 %,,,119,220,,15,3,,
31070,Total,1356,1011,74.56 %,,,289,622,,53,3,,
31131,Vote by Mail,876,417,47.60 %,,,62,284,,54,,,
31131,Polling Place,876,175,19.98 %,,,42,110,,15,,,
31131,Total,876,592,67.58 %,,,104,394,,69,,,
31140,Vote by Mail,1701,699,41.09 %,,,186,436,,47,2,,
31140,Polling Place,1701,506,29.75 %,,,161,304,,19,2,,
31140,Total,1701,1205,70.84 %,,,347,740,,66,4,,
31150,Vote by Mail,1472,737,50.07 %,,,152,504,,61,,,
31150,Polling Place,1472,361,24.52 %,,,94,218,,32,,,
31150,Total,1472,1098,74.59 %,,,246,722,,93,,,
31160,Vote by Mail,1136,488,42.96 %,,,182,260,,23,1,,
31160,Polling Place,1136,336,29.58 %,,,125,163,,15,2,,
31160,Total,1136,824,72.54 %,,,307,423,,38,3,,
31190,Vote by Mail,1375,576,41.89 %,,,186,334,,32,1,,
31190,Polling Place,1375,333,24.22 %,,,132,164,,16,,,
31190,Total,1375,909,66.11 %,,,318,498,,48,1,,
31210,Vote by Mail,1111,424,38.16 %,,,148,239,,21,,,
31210,Polling Place,1111,272,24.48 %,,,125,119,,13,1,,
31210,Total,1111,696,62.65 %,,,273,358,,34,1,,
31240,Vote by Mail,1807,608,33.65 %,,,242,290,,47,1,,
31240,Polling Place,1807,396,21.91 %,,,213,136,,12,2,,
31240,Total,1807,1004,55.56 %,,,455,426,,59,3,,
31250,Vote by Mail,1598,790,49.44 %,,,157,522,,77,3,,
31250,Polling Place,1598,411,25.72 %,,,76,286,,31,2,,
31250,Total,1598,1201,75.16 %,,,233,808,,108,5,,
31300,Vote by Mail,1463,616,42.11 %,,,183,346,,66,,,
31300,Polling Place,1463,341,23.31 %,,,112,185,,23,2,,
31300,Total,1463,957,65.41 %,,,295,531,,89,2,,
31400,Vote by Mail,1383,755,54.59 %,,,142,508,,79,,,
31400,Polling Place,1383,341,24.66 %,,,82,227,,23,1,,
31400,Total,1383,1096,79.25 %,,,224,735,,102,1,,
31450,Vote by Mail,1284,633,49.30 %,,,140,426,,40,,,
31450,Polling Place,1284,334,26.01 %,,,78,220,,24,1,,
31450,Total,1284,967,75.31 %,,,218,646,,64,1,,
31480,Vote by Mail,996,467,46.89 %,,,97,286,,68,,,
31480,Polling Place,996,225,22.59 %,,,57,143,,10,,,
31480,Total,996,692,69.48 %,,,154,429,,78,,,
31490,Vote by Mail,1025,510,49.76 %,,,99,345,,51,,,
31490,Polling Place,1025,253,24.68 %,,,57,155,,27,1,,
