Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
31600,Total,822,581,70.68 %,,,,,,,,,,,,,
31610,Vote by Mail,623,131,21.03 %,,,,,,,,,,,,,
31610,Polling Place,623,249,39.97 %,,,,,,,,,,,,,
31610,Total,623,380,61.00 %,,,,,,,,,,,,,
31630,Vote by Mail,417,72,17.27 %,,,,,,,,,,,,,
31630,Polling Place,417,206,49.40 %,,,,,,,,,,,,,
31630,Total,417,278,66.67 %,,,,,,,,,,,,,
31650,Vote by Mail,765,185,24.18 %,,,,,,,,,,,,,
31650,Polling Place,765,319,41.70 %,,,,,,,,,,,,,
31650,Total,765,504,65.88 %,,,,,,,,,,,,,
31690,Vote by Mail,435,103,23.68 %,,,,,,,,,,,,,
31690,Polling Place,435,190,43.68 %,,,,,,,,,,,,,
31690,Total,435,293,67.36 %,,,,,,,,,,,,,
31710,Vote by Mail,1222,436,35.68 %,,,1,,,,,,,,,,
31710,Polling Place,1222,313,25.61 %,,,,,,,,,,,,,
31710,Total,1222,749,61.29 %,,,1,,,,,,,,,,
40010,Vote by Mail,2,0,0.00 %,,,,,,,,,,,,,
40010,Polling Place,2,0,0.00 %,,,,,,,,,,,,,
40010,Total,2,0,0.00 %,,,,,,,,,,,,,
