PRESIDENTIAL PREFERENCE - Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,Party Member Registration,,Party Member Ballots Cast,,,Turnout (%),,Declined to State Voter Ballots Cast,,JULIÁN CASTRO,,,MICHAEL A. ELLINGER,,,ELIZABETH WARREN,,,MARIANNE WILLIAMSON,,,ANDREW YANG,,,"ROQUE ""ROCKY"" DE LA FUENTE III",,,,,JOHN K. DELANEY,,,,,,
11308,,,,,804,,484,,,60.2,,30,,1,,,0,,,40,,,1,,,4,,,0,,,,,,,0,,,,
11309,,,,,"1,331",,779,,,58.5,,57,,1,,,0,,,48,,,0,,,5,,,0,,,,,,,0,,,,
11310,,,,,410,,193,,,47.1,,2,,1,,,0,,,9,,,0,,,2,,,0,,,,,,,0,,,,
11312,,,,,996,,567,,,56.9,,19,,2,,,0,,,42,,,2,,,4,,,0,,,,,,,0,,,,
11315,,,,,"1,293",,627,,,48.5,,30,,2,,,1,,,37,,,0,,,2,,,0,,,,,,,1,,,,
11316,,,,,"1,114",,558,,,50.1,,10,,2,,,1,,,41,,,0,,,2,,,1,,,,,,,0,,,,
11320,,,,,627,,353,,,56.3,,18,,0,,,0,,,32,,,0,,,0,,,0,,,,,,,0,,,,
11322,,,,,679,,266,,,39.2,,10,,0,,,0,,,14,,,1,,,3,,,0,,,,,,,0,,,,
11323,,,,,917,,534,,,58.2,,3,,0,,,0,,,24,,,1,,,9,,,1,,,,,,,2,,,,
11324,,,,,"1,090",,631,,,57.9,,13,,1,,,0,,,33,,,3,,,13,,,0,,,,,,,0,,,,
11333,,,,,642,,322,,,50.2,,18,,2,,,0,,,20,,,0,,,2,,,0,,,,,,,0,,,,
33501,,,,,"1,176",,606,,,51.5,,34,,3,,,1,,,43,,,0,,,3,,,1,,,,,,,0,,,,
33502,,,,,737,,414,,,56.2,,11,,2,,,0,,,24,,,0,,,1,,,0,,,,,,,0,,,,
33503,,,,,"1,211",,656,,,54.2,,36,,6,,,2,,,33,,,0,,,6,,,0,,,,,,,0,,,,
33504,,,,,"1,030",,498,,,48.3,,16,,3,,,2,,,36,,,0,,,3,,,0,,,,,,,0,,,,
33507,,,,,646,,348,,,53.9,,21,,2,,,0,,,18,,,1,,,0,,,1,,,,,,,0,,,,
33509,,,,,"1,205",,593,,,49.2,,36,,5,,,0,,,28,,,0,,,5,,,1,,,,,,,0,,,,
33513,,,,,341,,181,,,53.1,,13,,2,,,1,,,18,,,0,,,1,,,0,,,,,,,1,,,,
33514,,,,,889,,483,,,54.3,,21,,2,,,0,,,36,,,0,,,7,,,1,,,,,,,0,,,,
33517,,,,,779,,437,,,56.1,,7,,2,,,0,,,30,,,0,,,1,,,0,,,,,,,1,,,,
33520,,,,,"1,106",,638,,,57.7,,45,,1,,,1,,,51,,,0,,,1,,,1,,,,,,,0,,,,
33521,,,,,692,,387,,,55.9,,33,,1,,,0,,,26,,,0,,,2,,,0,,,,,,,0,,,,
33524,,,,,462,,293,,,63.4,,28,,0,,,0,,,26,,,1,,,0,,,1,,,,,,,1,,,,
33525,,,,,"1,298",,704,,,54.2,,37,,1,,,0,,,41,,,0,,,7,,,0,,,,,,,1,,,,
33527,,,,,629,,349,,,55.5,,30,,1,,,0,,,29,,,2,,,4,,,0,,,,,,,1,,,,
33529,,,,,"1,029",,606,,,58.9,,13,,1,,,0,,,34,,,0,,,2,,,0,,,,,,,0,,,,
33530,,,,,"1,321",,745,,,56.4,,62,,2,,,0,,,70,,,1,,,10,,,0,,,,,,,0,,,,
33533,,,,,894,,495,,,55.4,,40,,3,,,2,,,41,,,2,,,4,,,0,,,,,,,0,,,,
33540,,,,,"1,260",,584,,,46.3,,31,,2,,,0,,,36,,,0,,,5,,,1,,,,,,,0,,,,
33543,,,,,"1,175",,708,,,60.3,,53,,1,,,0,,,59,,,0,,,9,,,0,,,,,,,0,,,,
33546,,,,,872,,458,,,52.5,,36,,3,,,0,,,47,,,1,,,4,,,0,,,,,,,0,,,,
42401,,,,,727,,407,,,56.0,,28,,1,,,0,,,32,,,0,,,3,,,0,,,,,,,0,,,,
42402,,,,,504,,388,,,77.0,,28,,0,,,0,,,44,,,1,,,0,,,0,,,,,,,0,,,,
42404,,,,,938,,446,,,47.5,,91,,0,,,0,,,52,,,1,,,3,,,0,,,,,,,1,,,,
42405,,,,,328,,178,,,54.3,,11,,1,,,0,,,13,,,0,,,1,,,0,,,,,,,0,,,,
42406,,,,,570,,326,,,57.2,,30,,1,,,0,,,44,,,1,,,1,,,1,,,,,,,0,,,,
42407,,,,,425,,246,,,57.9,,15,,0,,,0,,,23,,,0,,,0,,,0,,,,,,,0,,,,
42408,,,,,442,,272,,,61.5,,17,,3,,,0,,,18,,,0,,,1,,,0,,,,,,,0,,,,
42411,,,,,519,,387,,,74.6,,29,,0,,,0,,,51,,,1,,,2,,,0,,,,,,,0,,,,
42415,,,,,556,,365,,,65.6,,25,,0,,,0,,,27,,,0,,,1,,,3,,,,,,,1,,,,
42418,,,,,721,,466,,,64.6,,18,,0,,,0,,,44,,,1,,,1,,,0,,,,,,,2,,,,
42422,,,,,524,,359,,,68.5,,20,,1,,,0,,,34,,,0,,,2,,,0,,,,,,,0,,,,
42426,,,,,724,,457,,,63.1,,19,,1,,,0,,,32,,,1,,,2,,,1,,,,,,,0,,,,
42427,,,,,704,,290,,,41.2,,16,,1,,,0,,,16,,,1,,,0,,,2,,,,,,,1,,,,
42429,,,,,467,,243,,,52.0,,15,,0,,,0,,,19,,,0,,,3,,,1,,,,,,,0,,,,
42432,,,,,470,,339,,,72.1,,9,,0,,,0,,,20,,,0,,,3,,,0,,,,,,,0,,,,
42434,,,,,484,,224,,,46.3,,27,,2,,,0,,,18,,,0,,,0,,,1,,,,,,,0,,,,
42439,,,,,526,,389,,,74.0,,13,,1,,,0,,,29,,,1,,,1,,,0,,,,,,,2,,,,
54301,,,,,446,,177,,,39.7,,90,,0,,,0,,,20,,,0,,,0,,,1,,,,,,,0,,,,
54302,,,,,839,,470,,,56.0,,13,,2,,,0,,,29,,,0,,,8,,,2,,,,,,,0,,,,
54304,,,,,748,,410,,,54.8,,25,,0,,,0,,,31,,,2,,,2,,,3,,,,,,,0,,,,
