Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,647,"1,886",,0,0.00%,0,0.00%,46,7.19%,,0,0.00%,4,0.63%,,0,0.00%,0,0.00%,47,7.34%,79,12.34%,0,0.00%,15,2.34%,0,0.00%,0,0.00%,160,25.00%,0,0.00%,0,0.00%,46,7.19%,238,37.19%,5,0.78%,0,0.00%,640,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,96,"1,361",,0,0.00%,0,0.00%,14,14.58%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,27,28.13%,0,0.00%,2,2.08%,0,0.00%,0,0.00%,14,14.58%,0,0.00%,0,0.00%,1,1.04%,37,38.54%,1,1.04%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,345,"1,361",,0,0.00%,0,0.00%,36,10.50%,,0,0.00%,4,1.17%,,0,0.00%,0,0.00%,21,6.12%,55,16.03%,0,0.00%,5,1.46%,0,0.00%,0,0.00%,88,25.66%,0,0.00%,0,0.00%,28,8.16%,105,30.61%,1,0.29%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,361",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,441,"1,361",,0,0.00%,0,0.00%,50,11.39%,,0,0.00%,4,0.91%,,0,0.00%,0,0.00%,21,4.78%,82,18.68%,0,0.00%,7,1.59%,0,0.00%,0,0.00%,102,23.23%,0,0.00%,0,0.00%,29,6.61%,142,32.35%,2,0.46%,0,0.00%,439,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,144,"1,291",,0,0.00%,0,0.00%,13,9.15%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,20,14.08%,1,0.70%,0,0.00%,0,0.00%,0,0.00%,18,12.68%,0,0.00%,0,0.00%,0,0.00%,89,62.68%,1,0.70%,0,0.00%,142,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,412,"1,291",,0,0.00%,0,0.00%,61,14.91%,,1,0.24%,0,0.00%,,1,0.24%,0,0.00%,18,4.40%,66,16.14%,1,0.24%,5,1.22%,0,0.00%,0,0.00%,93,22.74%,0,0.00%,1,0.24%,52,12.71%,108,26.41%,2,0.49%,0,0.00%,409,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,291",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,556,"1,291",,0,0.00%,0,0.00%,74,13.43%,,1,0.18%,0,0.00%,,1,0.18%,0,0.00%,18,3.27%,86,15.61%,2,0.36%,5,0.91%,0,0.00%,0,0.00%,111,20.15%,0,0.00%,1,0.18%,52,9.44%,197,35.75%,3,0.54%,0,0.00%,551,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,165,"1,212",,0,0.00%,0,0.00%,20,12.20%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,37,22.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,37,22.56%,0,0.00%,0,0.00%,2,1.22%,67,40.85%,1,0.61%,0,0.00%,164,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,356,"1,212",,0,0.00%,0,0.00%,51,14.45%,,2,0.57%,0,0.00%,,0,0.00%,0,0.00%,14,3.97%,43,12.18%,0,0.00%,7,1.98%,0,0.00%,0,0.00%,95,26.91%,0,0.00%,1,0.28%,24,6.80%,111,31.44%,5,1.42%,0,0.00%,353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,212",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,521,"1,212",,0,0.00%,0,0.00%,71,13.73%,,2,0.39%,0,0.00%,,0,0.00%,0,0.00%,14,2.71%,80,15.47%,0,0.00%,7,1.35%,0,0.00%,0,0.00%,132,25.53%,0,0.00%,1,0.19%,26,5.03%,178,34.43%,6,1.16%,0,0.00%,517,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,144,"1,165",,0,0.00%,0,0.00%,17,12.14%,,0,0.00%,1,0.71%,,0,0.00%,0,0.00%,0,0.00%,27,19.29%,0,0.00%,1,0.71%,0,0.00%,0,0.00%,24,17.14%,0,0.00%,0,0.00%,0,0.00%,69,49.29%,1,0.71%,0,0.00%,140,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,394,"1,165",,0,0.00%,1,0.26%,58,14.80%,,1,0.26%,2,0.51%,,1,0.26%,0,0.00%,22,5.61%,76,19.39%,0,0.00%,8,2.04%,0,0.00%,0,0.00%,77,19.64%,0,0.00%,0,0.00%,35,8.93%,108,27.55%,3,0.77%,0,0.00%,392,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,165",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,538,"1,165",,0,0.00%,1,0.19%,75,14.10%,,1,0.19%,3,0.56%,,1,0.19%,0,0.00%,22,4.14%,103,19.36%,0,0.00%,9,1.69%,0,0.00%,0,0.00%,101,18.98%,0,0.00%,0,0.00%,35,6.58%,177,33.27%,4,0.75%,0,0.00%,532,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,201,"1,696",,0,0.00%,0,0.00%,27,13.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,16.00%,0,0.00%,1,0.50%,0,0.00%,0,0.00%,31,15.50%,0,0.00%,0,0.00%,1,0.50%,103,51.50%,5,2.50%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,487,"1,696",,0,0.00%,0,0.00%,74,15.23%,,0,0.00%,2,0.41%,,0,0.00%,0,0.00%,23,4.73%,97,19.96%,0,0.00%,4,0.82%,0,0.00%,0,0.00%,100,20.58%,0,0.00%,0,0.00%,25,5.14%,158,32.51%,3,0.62%,0,0.00%,486,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,696",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,688,"1,696",,0,0.00%,0,0.00%,101,14.72%,,0,0.00%,2,0.29%,,0,0.00%,0,0.00%,23,3.35%,129,18.80%,0,0.00%,5,0.73%,0,0.00%,0,0.00%,131,19.10%,0,0.00%,0,0.00%,26,3.79%,261,38.05%,8,1.17%,0,0.00%,686,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,125,"1,300",,0,0.00%,0,0.00%,11,8.80%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,21,16.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,15.20%,0,0.00%,0,0.00%,0,0.00%,72,57.60%,2,1.60%,0,0.00%,125,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,456,"1,300",,0,0.00%,0,0.00%,49,10.86%,,1,0.22%,6,1.33%,,0,0.00%,0,0.00%,31,6.87%,80,17.74%,0,0.00%,18,3.99%,0,0.00%,0,0.00%,104,23.06%,0,0.00%,0,0.00%,46,10.20%,114,25.28%,2,0.44%,0,0.00%,451,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,300",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,581,"1,300",,0,0.00%,0,0.00%,60,10.42%,,1,0.17%,6,1.04%,,0,0.00%,0,0.00%,31,5.38%,101,17.53%,0,0.00%,18,3.13%,0,0.00%,0,0.00%,123,21.35%,0,0.00%,0,0.00%,46,7.99%,186,32.29%,4,0.69%,0,0.00%,576,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,75,800,,0,0.00%,0,0.00%,9,12.00%,,1,1.33%,0,0.00%,,0,0.00%,0,0.00%,1,1.33%,12,16.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,18.67%,0,0.00%,0,0.00%,0,0.00%,38,50.67%,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,298,800,,1,0.34%,0,0.00%,31,10.51%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,21,7.12%,34,11.53%,1,0.34%,8,2.71%,0,0.00%,0,0.00%,88,29.83%,0,0.00%,1,0.34%,24,8.14%,86,29.15%,0,0.00%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,800,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,373,800,,1,0.27%,0,0.00%,40,10.81%,,1,0.27%,0,0.00%,,0,0.00%,0,0.00%,22,5.95%,46,12.43%,1,0.27%,8,2.16%,0,0.00%,0,0.00%,102,27.57%,0,0.00%,1,0.27%,24,6.49%,124,33.51%,0,0.00%,0,0.00%,370,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,85,"1,200",,0,0.00%,0,0.00%,8,9.41%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,23,27.06%,0,0.00%,1,1.18%,0,0.00%,0,0.00%,8,9.41%,0,0.00%,0,0.00%,0,0.00%,45,52.94%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,321,"1,200",,0,0.00%,0,0.00%,50,15.58%,,0,0.00%,1,0.31%,,0,0.00%,0,0.00%,17,5.30%,37,11.53%,0,0.00%,16,4.98%,0,0.00%,0,0.00%,86,26.79%,0,0.00%,0,0.00%,24,7.48%,87,27.10%,3,0.93%,0,0.00%,321,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,200",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,406,"1,200",,0,0.00%,0,0.00%,58,14.29%,,0,0.00%,1,0.25%,,0,0.00%,0,0.00%,17,4.19%,60,14.78%,0,0.00%,17,4.19%,0,0.00%,0,0.00%,94,23.15%,0,0.00%,0,0.00%,24,5.91%,132,32.51%,3,0.74%,0,0.00%,406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,134,"1,442",,0,0.00%,0,0.00%,11,8.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,26,19.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,10.45%,0,0.00%,0,0.00%,0,0.00%,83,61.94%,0,0.00%,0,0.00%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,403,"1,442",,0,0.00%,0,0.00%,44,10.95%,,0,0.00%,2,0.50%,,0,0.00%,0,0.00%,19,4.73%,66,16.42%,0,0.00%,5,1.24%,0,0.00%,0,0.00%,113,28.11%,0,0.00%,0,0.00%,37,9.20%,114,28.36%,2,0.50%,0,0.00%,402,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,442",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,537,"1,442",,0,0.00%,0,0.00%,55,10.26%,,0,0.00%,2,0.37%,,0,0.00%,0,0.00%,19,3.54%,92,17.16%,0,0.00%,5,0.93%,0,0.00%,0,0.00%,127,23.69%,0,0.00%,0,0.00%,37,6.90%,197,36.75%,2,0.37%,0,0.00%,536,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,132,"1,298",,0,0.00%,0,0.00%,20,15.15%,,0,0.00%,1,0.76%,,0,0.00%,0,0.00%,2,1.52%,39,29.55%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,12.12%,0,0.00%,0,0.00%,0,0.00%,52,39.39%,2,1.52%,0,0.00%,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,418,"1,298",,0,0.00%,2,0.48%,55,13.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,18,4.33%,76,18.27%,0,0.00%,8,1.92%,0,0.00%,0,0.00%,87,20.91%,0,0.00%,1,0.24%,32,7.69%,136,32.69%,1,0.24%,0,0.00%,416,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,298",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,550,"1,298",,0,0.00%,2,0.36%,75,13.69%,,0,0.00%,1,0.18%,,0,0.00%,0,0.00%,20,3.65%,115,20.99%,0,0.00%,8,1.46%,0,0.00%,0,0.00%,103,18.80%,0,0.00%,1,0.18%,32,5.84%,188,34.31%,3,0.55%,0,0.00%,548,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,130,"1,049",,0,0.00%,0,0.00%,20,15.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,43,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,9.30%,0,0.00%,0,0.00%,1,0.78%,52,40.31%,1,0.78%,0,0.00%,129,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,331,"1,049",,0,0.00%,0,0.00%,52,15.81%,,1,0.30%,0,0.00%,,0,0.00%,0,0.00%,9,2.74%,81,24.62%,0,0.00%,14,4.26%,0,0.00%,0,0.00%,44,13.37%,1,0.30%,0,0.00%,33,10.03%,91,27.66%,3,0.91%,0,0.00%,329,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,049",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,461,"1,049",,0,0.00%,0,0.00%,72,15.72%,,1,0.22%,0,0.00%,,0,0.00%,0,0.00%,9,1.97%,124,27.07%,0,0.00%,14,3.06%,0,0.00%,0,0.00%,56,12.23%,1,0.22%,0,0.00%,34,7.42%,143,31.22%,4,0.87%,0,0.00%,458,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,136,"1,187",,0,0.00%,0,0.00%,13,9.70%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,55,41.04%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,8.96%,0,0.00%,0,0.00%,1,0.75%,53,39.55%,0,0.00%,0,0.00%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,400,"1,187",,0,0.00%,0,0.00%,49,12.44%,,1,0.25%,0,0.00%,,0,0.00%,0,0.00%,18,4.57%,92,23.35%,0,0.00%,11,2.79%,0,0.00%,0,0.00%,48,12.18%,0,0.00%,0,0.00%,38,9.64%,135,34.26%,2,0.51%,0,0.00%,394,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,187",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,536,"1,187",,0,0.00%,0,0.00%,62,11.74%,,1,0.19%,0,0.00%,,0,0.00%,0,0.00%,18,3.41%,147,27.84%,0,0.00%,11,2.08%,0,0.00%,0,0.00%,60,11.36%,0,0.00%,0,0.00%,39,7.39%,188,35.61%,2,0.38%,0,0.00%,528,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,120,504,,0,0.00%,0,0.00%,21,17.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,53,44.17%,0,0.00%,1,0.83%,0,0.00%,0,0.00%,10,8.33%,0,0.00%,0,0.00%,1,0.83%,34,28.33%,0,0.00%,0,0.00%,120,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,123,504,,0,0.00%,0,0.00%,18,14.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.63%,62,50.41%,0,0.00%,2,1.63%,0,0.00%,0,0.00%,12,9.76%,0,0.00%,0,0.00%,9,7.32%,17,13.82%,1,0.81%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,504,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,243,504,,0,0.00%,0,0.00%,39,16.05%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,0.82%,115,47.33%,0,0.00%,3,1.23%,0,0.00%,0,0.00%,22,9.05%,0,0.00%,0,0.00%,10,4.12%,51,20.99%,1,0.41%,0,0.00%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,83,607,,0,0.00%,0,0.00%,18,22.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.23%,29,35.80%,0,0.00%,1,1.23%,0,0.00%,0,0.00%,2,2.47%,0,0.00%,0,0.00%,0,0.00%,29,35.80%,1,1.23%,0,0.00%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,173,607,,0,0.00%,0,0.00%,32,18.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,10,5.78%,43,24.86%,0,0.00%,4,2.31%,0,0.00%,0,0.00%,21,12.14%,0,0.00%,0,0.00%,13,7.51%,45,26.01%,4,2.31%,1,0.58%,173,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,607,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,256,607,,0,0.00%,0,0.00%,50,19.69%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,4.33%,72,28.35%,0,0.00%,5,1.97%,0,0.00%,0,0.00%,23,9.06%,0,0.00%,0,0.00%,13,5.12%,74,29.13%,5,1.97%,1,0.39%,254,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,70,"1,191",,0,0.00%,1,1.45%,10,14.49%,,0,0.00%,1,1.45%,,0,0.00%,0,0.00%,0,0.00%,16,23.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,10.14%,0,0.00%,1,1.45%,1,1.45%,31,44.93%,1,1.45%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,247,"1,191",,0,0.00%,0,0.00%,26,10.61%,,0,0.00%,4,1.63%,,0,0.00%,0,0.00%,18,7.35%,36,14.69%,0,0.00%,8,3.27%,0,0.00%,0,0.00%,57,23.27%,0,0.00%,0,0.00%,27,11.02%,69,28.16%,0,0.00%,0,0.00%,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,191",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,317,"1,191",,0,0.00%,1,0.32%,36,11.46%,,0,0.00%,5,1.59%,,0,0.00%,0,0.00%,18,5.73%,52,16.56%,0,0.00%,8,2.55%,0,0.00%,0,0.00%,64,20.38%,0,0.00%,1,0.32%,28,8.92%,100,31.85%,1,0.32%,0,0.00%,314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,139,"1,908",,0,0.00%,0,0.00%,17,12.23%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.72%,29,20.86%,0,0.00%,1,0.72%,0,0.00%,0,0.00%,14,10.07%,0,0.00%,0,0.00%,1,0.72%,74,53.24%,2,1.44%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,464,"1,908",,0,0.00%,0,0.00%,68,14.85%,,1,0.22%,0,0.00%,,0,0.00%,0,0.00%,27,5.90%,81,17.69%,0,0.00%,13,2.84%,0,0.00%,1,0.22%,83,18.12%,0,0.00%,0,0.00%,39,8.52%,144,31.44%,1,0.22%,0,0.00%,458,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,908",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,603,"1,908",,0,0.00%,0,0.00%,85,14.24%,,1,0.17%,0,0.00%,,0,0.00%,0,0.00%,28,4.69%,110,18.43%,0,0.00%,14,2.35%,0,0.00%,1,0.17%,97,16.25%,0,0.00%,0,0.00%,40,6.70%,218,36.52%,3,0.50%,0,0.00%,597,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,118,"1,633",,0,0.00%,0,0.00%,12,10.34%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,38,32.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,11.21%,0,0.00%,0,0.00%,0,0.00%,51,43.97%,1,0.86%,1,0.86%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,339,"1,633",,0,0.00%,0,0.00%,50,14.93%,,0,0.00%,2,0.60%,,0,0.00%,0,0.00%,17,5.07%,66,19.70%,0,0.00%,18,5.37%,0,0.00%,2,0.60%,57,17.01%,0,0.00%,1,0.30%,29,8.66%,89,26.57%,4,1.19%,0,0.00%,335,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,633",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
