Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMO111 0,,,,ALMO111 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,188,327,,Vote By Mail,0,0.00%,0,0.00%,20,10.87%,,0,0.00%,2,1.09%,,0,0.00%,0,0.00%,16,8.70%,30,16.30%,0,0.00%,2,1.09%,0,0.00%,0,0.00%,49,26.63%,0,0.00%,0,0.00%,12,6.52%,51,27.72%,2,1.09%,0,0.00%,184,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,109,327,,Election Day,0,0.00%,0,0.00%,11,10.09%,,0,0.00%,1,0.92%,,0,0.00%,0,0.00%,0,0.00%,22,20.18%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,11.93%,0,0.00%,0,0.00%,1,0.92%,60,55.05%,1,0.92%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,297,327,,Total,0,0.00%,0,0.00%,31,10.58%,,0,0.00%,3,1.02%,,0,0.00%,0,0.00%,16,5.46%,52,17.75%,0,0.00%,2,0.68%,0,0.00%,0,0.00%,62,21.16%,0,0.00%,0,0.00%,13,4.44%,111,37.88%,3,1.02%,0,0.00%,293,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO112 0,,,,ALMO112 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,124,184,,Vote By Mail,0,0.00%,0,0.00%,9,7.38%,,0,0.00%,1,0.82%,,1,0.82%,0,0.00%,6,4.92%,7,5.74%,0,0.00%,0,0.00%,0,0.00%,1,0.82%,44,36.07%,0,0.00%,0,0.00%,7,5.74%,46,37.70%,0,0.00%,0,0.00%,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,48,184,,Election Day,0,0.00%,0,0.00%,3,6.25%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,8,16.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,16.67%,0,0.00%,0,0.00%,1,2.08%,27,56.25%,1,2.08%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,172,184,,Total,0,0.00%,0,0.00%,12,7.06%,,0,0.00%,1,0.59%,,1,0.59%,0,0.00%,6,3.53%,15,8.82%,0,0.00%,0,0.00%,0,0.00%,1,0.59%,52,30.59%,0,0.00%,0,0.00%,8,4.71%,73,42.94%,1,0.59%,0,0.00%,170,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALMO801 0,,,,ALMO801 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,132,175,,Vote By Mail,0,0.00%,0,0.00%,23,17.69%,,0,0.00%,1,0.77%,,0,0.00%,0,0.00%,13,10.00%,16,12.31%,0,0.00%,2,1.54%,0,0.00%,0,0.00%,34,26.15%,0,0.00%,0,0.00%,8,6.15%,33,25.38%,0,0.00%,0,0.00%,130,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
